
           ___      .______        ______  __    __  .______      
          /   \     |   _  \      /      ||  |  |  | |   _  \     
         /  ^  \    |  |_)  |    |  ,----'|  |__|  | |  |_)  |    
        /  /_\  \   |      /     |  |     |   __   | |      /     
       /  _____  \  |  |\  \\___ |  `----.|  |  |  | |  |\  \\___.
      /__/     \__\ | _| `._____| \______||__|  |__| | _| `._____|
    
Logging With ArchR!

Start Time : 2020-12-03 18:36:43

------- ArchR Info

ArchRThreads = 1
ArchRGenome = Mm10

------- System Info

Computer OS = unix
Total Cores = 8

------- Session Info

R version 3.6.2 (2019-12-12)
Platform: x86_64-apple-darwin15.6.0 (64-bit)
Running under: macOS Mojave 10.14.5

Matrix products: default
BLAS:   /Library/Frameworks/R.framework/Versions/3.6/Resources/lib/libRblas.0.dylib
LAPACK: /Library/Frameworks/R.framework/Versions/3.6/Resources/lib/libRlapack.dylib

locale:
[1] en_US.UTF-8/en_US.UTF-8/en_US.UTF-8/C/en_US.UTF-8/en_US.UTF-8

attached base packages:
 [1] grid      parallel  stats4    stats     graphics  grDevices utils    
 [8] datasets  methods   base     

other attached packages:
 [1] chromVARmotifs_0.2.0               motifmatchr_1.8.0                 
 [3] circlize_0.4.8                     ComplexHeatmap_2.3.1              
 [5] presto_1.0.0                       nabor_0.5.0                       
 [7] BSgenome.Mmusculus.UCSC.mm10_1.4.0 BSgenome_1.54.0                   
 [9] rtracklayer_1.46.0                 Biostrings_2.54.0                 
[11] XVector_0.26.0                     ggalluvial_0.12.0                 
[13] ArchR_0.9.5                        magrittr_1.5                      
[15] rhdf5_2.30.1                       data.table_1.12.8                 
[17] patchwork_1.0.0                    Seurat_3.1.5                      
[19] Signac_0.2.5                       harmony_1.0                       
[21] Rcpp_1.0.3                         scater_1.14.6                     
[23] uwot_0.1.5                         scran_1.14.5                      
[25] forcats_0.4.0                      stringr_1.4.0                     
[27] dplyr_0.8.4                        purrr_0.3.3                       
[29] readr_1.3.1                        tidyr_1.0.2                       
